STORMNAME,YYYYMMDDHH,tyid
DURIAN,2006-11-25 6:00:00,18
DURIAN,2006-12-05 18:00:00,18
FENGSHEN,2008-06-17 18:00:00,6
FENGSHEN,2008-06-27 0:00:00,6
KETSANA,2009-09-25 0:00:00,15
KETSANA,2009-09-30 18:00:00,15
CONSON,2010-07-11 12:00:00,3
CONSON,2010-07-18 0:00:00,3
NESAT,2011-09-23 0:00:00,17
NESAT,2011-09-30 18:00:00,17
BOPHA,2012-11-25 18:00:00,23
BOPHA,2012-12-09 6:00:00,23
UTOR,2013-08-08 12:00:00,27
TRAMI,2013-08-16 12:00:00,12
UTOR,2013-08-18 6:00:00,27
TRAMI,2013-08-24 6:00:00,12
USAGI,2013-09-16 0:00:00,16
USAGI,2013-09-24 0:00:00,16
NARI,2013-10-08 12:00:00,20
NARI,2013-10-16 12:00:00,20
KROSA,2013-10-27 18:00:00,21
HAIYAN,2013-11-03 6:00:00,24
KROSA,2013-11-04 18:00:00,21
HAIYAN,2013-11-11 6:00:00,24
LINGLING,2014-01-15 0:00:00,1
LINGLING,2014-01-20 6:00:00,1
RAMMASUN,2014-07-09 6:00:00,7
RAMMASUN,2014-07-20 0:00:00,7
KALMAEGI,2014-09-11 18:00:00,10
FUNG-WONG,2014-09-17 0:00:00,13
KALMAEGI,2014-09-17 18:00:00,10
FUNG-WONG,2014-09-25 0:00:00,13
HAGUPIT,2014-11-30 12:00:00,19
HAGUPIT,2014-12-12 6:00:00,19
MEKKHALA,2015-01-13 0:00:00,2
MEKKHALA,2015-01-20 18:00:00,2
NOUL,2015-05-02 6:00:00,5
NOUL,2015-05-16 0:00:00,5
GONI,2015-08-13 18:00:00,4
GONI,2015-08-30 6:00:00,4
MUJIGAE,2015-09-30 18:00:00,8
MUJIGAE,2015-10-05 0:00:00,8
KOPPU,2015-10-12 0:00:00,9
KOPPU,2015-10-21 6:00:00,9
MELOR,2015-12-10 0:00:00,14
MELOR,2015-12-17 0:00:00,14
SARIKA,2016-10-13 0:00:00,26
HAIMA,2016-10-14 12:00:00,22
SARIKA,2016-10-19 18:00:00,26
HAIMA,2016-10-26 6:00:00,22
NOCK-TEN,2016-12-20 12:00:00,25
NOCK-TEN,2016-12-28 12:00:00,25
MANGKHUT,2018-09-07 6:00:00,11
MANGKHUT,2018-09-17 0:00:00,11
KAMMURI,2019-11-30 23:00:00,-
KAMMURI,2019-12-05 8:00:00,-
PHANFONE,2019-12-24 16:45:00,-
PHANFONE,2019-12-28 0:00:00,-
